context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,0,0,9,False,9
33,LinearOffChipLoad,0,9,18,False,9
33,LinearOffChipLoad,0,18,27,True,9
33,LinearOffChipLoad,0,102,111,False,9
33,LinearOffChipLoad,0,182,191,False,9
33,LinearOffChipLoad,0,262,271,True,9
35,LinearOffChipLoad,1,0,20,False,20
35,LinearOffChipLoad,1,20,40,False,20
35,LinearOffChipLoad,1,40,60,True,20
35,LinearOffChipLoad,1,102,122,False,20
35,LinearOffChipLoad,1,182,202,False,20
35,LinearOffChipLoad,1,262,283,True,21
34,BinaryMapAccum,2,21,101,False,80
34,BinaryMapAccum,2,101,181,False,80
34,BinaryMapAccum,2,181,261,True,80
34,BinaryMapAccum,2,261,341,False,80
34,BinaryMapAccum,2,341,421,False,80
34,BinaryMapAccum,2,421,501,True,80
36,OffChipStore,3,262,283,False,21
36,OffChipStore,3,502,522,False,20
