name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,0,0,517,False
LinearOffChipLoad,0,517,1034,False
LinearOffChipLoad,0,1034,1551,False
LinearOffChipLoad,0,1551,2068,False
LinearOffChipLoad,0,2068,2585,False
LinearOffChipLoad,0,2585,3102,False
LinearOffChipLoad,0,3102,3619,False
LinearOffChipLoad,0,3619,4136,False
LinearOffChipLoad,0,4136,4653,False
LinearOffChipLoad,0,4653,5170,False
LinearOffChipLoad,0,5170,5687,False
LinearOffChipLoad,0,5687,6204,False
LinearOffChipLoad,0,6204,6721,False
LinearOffChipLoad,0,6721,7238,False
LinearOffChipLoad,0,7238,7755,False
LinearOffChipLoad,0,7755,8272,False
UnaryMap,1,517,2565,False
UnaryMap,1,2565,4613,False
UnaryMap,1,4613,6661,False
UnaryMap,1,6661,8709,False
UnaryMap,1,8709,10757,False
UnaryMap,1,10757,12805,False
UnaryMap,1,12805,14853,False
UnaryMap,1,14853,16901,False
UnaryMap,1,16901,18949,False
UnaryMap,1,18949,20997,False
UnaryMap,1,20997,23045,False
UnaryMap,1,23045,25093,False
UnaryMap,1,25093,27141,False
UnaryMap,1,27141,29189,False
UnaryMap,1,29189,31237,False
UnaryMap,1,31237,33285,False
UnaryMap,2,2565,2597,False
UnaryMap,2,4613,4645,False
UnaryMap,2,6661,6693,False
UnaryMap,2,8709,8741,False
UnaryMap,2,10757,10789,False
UnaryMap,2,12805,12837,False
UnaryMap,2,14853,14885,False
UnaryMap,2,16901,16933,False
UnaryMap,2,18949,18981,False
UnaryMap,2,20997,21029,False
UnaryMap,2,23045,23077,False
UnaryMap,2,25093,25125,False
UnaryMap,2,27141,27173,False
UnaryMap,2,29189,29221,False
UnaryMap,2,31237,31269,False
UnaryMap,2,33285,33317,False
Accum,3,4645,4646,False
Accum,3,8741,8742,False
Accum,3,12837,12838,False
Accum,3,16933,16934,False
Accum,3,21029,21030,False
Accum,3,25125,25126,False
Accum,3,29221,29222,False
Accum,3,33317,33318,False
UnaryMap,4,4646,4647,False
UnaryMap,4,8742,8743,False
UnaryMap,4,12838,12839,False
UnaryMap,4,16934,16935,False
UnaryMap,4,21030,21031,False
UnaryMap,4,25126,25127,False
UnaryMap,4,29222,29223,False
UnaryMap,4,33318,33319,False
RepeatStatic,5,4647,4647,False
RepeatStatic,5,8742,8743,False
RepeatStatic,5,12838,12839,False
RepeatStatic,5,16934,16935,False
RepeatStatic,5,21030,21031,False
RepeatStatic,5,25126,25127,False
RepeatStatic,5,29222,29223,False
RepeatStatic,5,33318,33319,False
RepeatStatic,5,37414,37415,False
RepeatStatic,5,41510,41511,False
RepeatStatic,5,45606,45607,False
RepeatStatic,5,49702,49703,False
RepeatStatic,5,53798,53799,False
RepeatStatic,5,57894,57895,False
RepeatStatic,5,61990,61991,False
RepeatStatic,5,66086,66087,False
BinaryMap,6,4647,6695,False
BinaryMap,6,6695,8743,False
BinaryMap,6,8743,10791,False
BinaryMap,6,10791,12839,False
BinaryMap,6,12839,14887,False
BinaryMap,6,14887,16935,False
BinaryMap,6,16935,18983,False
BinaryMap,6,18983,21031,False
BinaryMap,6,21031,23079,False
BinaryMap,6,23079,25127,False
BinaryMap,6,25127,27175,False
BinaryMap,6,27175,29223,False
BinaryMap,6,29223,31271,False
BinaryMap,6,31271,33319,False
BinaryMap,6,33319,35367,False
